,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,epochs,stage
10,0.19297592341899872,14274.0,758.0,185338.0,1234.0,0.934743344783783,0.9495742321014404,0.9204281568527222,0.9973242282867432,0.1418057680130005,971.0,41.0,12343.0,61.0,0.9525193572044373,0.959486186504364,0.940891444683075,0.998652994632721,11,fine_tune
11,0.11524359881877899,13830.0,457.0,173255.0,646.0,0.9614534378051758,0.9680128693580627,0.9553744196891785,0.999150276184082,0.09498222917318344,995.0,27.0,12357.0,37.0,0.9689922332763672,0.9735811948776245,0.9641472697257996,0.9991018772125244,12,fine_tune
12,0.08246491849422455,14021.0,333.0,173379.0,455.0,0.9722298979759216,0.9768009185791016,0.9685686826705933,0.999359667301178,0.08653820306062698,999.0,29.0,12355.0,33.0,0.9709302186965942,0.9717898964881897,0.9680232405662537,0.9991626739501953,13,fine_tune
13,0.05838515982031822,14166.0,233.0,173479.0,310.0,0.9814175367355347,0.9838182926177979,0.9785852432250977,0.9996438026428223,0.07932975888252258,1001.0,28.0,12356.0,31.0,0.9718992114067078,0.9727891087532043,0.9699612259864807,0.9992032647132874,14,fine_tune
14,0.043200861662626266,14266.0,151.0,173561.0,210.0,0.9871511459350586,0.9895262718200684,0.9854932427406311,0.9998199343681335,0.07538089901208878,1011.0,21.0,12363.0,21.0,0.979651153087616,0.979651153087616,0.979651153087616,0.9992275238037109,15,fine_tune
15,0.029428577050566673,14345.0,98.0,173614.0,131.0,0.9924012422561646,0.9932147264480591,0.9909505248069763,0.9998956322669983,0.06410399824380875,1010.0,19.0,12365.0,22.0,0.979651153087616,0.9815354943275452,0.9786821603775024,0.9993007183074951,16,fine_tune
16,0.019777117297053337,14397.0,59.0,173653.0,79.0,0.9952334761619568,0.9959186315536499,0.9945427179336548,0.9999527931213379,0.07056919485330582,1009.0,22.0,12362.0,23.0,0.9777131676673889,0.9786614775657654,0.9777131676673889,0.998299777507782,17,fine_tune
17,0.017232326790690422,14411.0,51.0,173661.0,65.0,0.9959242939949036,0.996473491191864,0.9955098032951355,0.9999551177024841,0.050587236881256104,1017.0,13.0,12371.0,15.0,0.9854651093482971,0.9873786568641663,0.9854651093482971,0.9993695616722107,18,fine_tune
18,0.01281428150832653,14436.0,30.0,173682.0,40.0,0.9977203607559204,0.9979261755943298,0.9972367882728577,0.9999958276748657,0.056495167315006256,1013.0,17.0,12367.0,19.0,0.981589138507843,0.9834951162338257,0.981589138507843,0.9988346695899963,19,fine_tune
19,0.010827671736478806,14433.0,34.0,173678.0,43.0,0.9973058700561523,0.9976498484611511,0.9970295429229736,0.9999977350234985,0.05966321378946304,1013.0,19.0,12365.0,19.0,0.981589138507843,0.981589138507843,0.981589138507843,0.998879611492157,20,fine_tune
20,0.007812652736902237,14452.0,20.0,173692.0,24.0,0.9986184239387512,0.9986180067062378,0.9983420968055725,0.9999983310699463,0.05422278866171837,1013.0,17.0,12367.0,19.0,0.9835271239280701,0.9834951162338257,0.981589138507843,0.9993689656257629,21,fine_tune
